file,app,iscorrect,topk,isCorrectMRR,firstrankIscorrect
fold_1valid.csv,Applicatons/libraries,0,1,0,0
fold_1valid.csv,Applicatons/libraries,0,1,0,0
fold_1valid.csv,project147,0,1,0,0
fold_1valid.csv,project512,0,1,0,0
fold_1valid.csv,project928,0,1,0,0
fold_1valid.csv,project534,0,1,0,0
fold_1valid.csv,project480,0,1,0,0
fold_1valid.csv,project502,0,1,0,0
fold_1valid.csv,project90,0,1,0.3333333333333333,0.3333333333333333
fold_1valid.csv,project765,0,1,0,0
fold_1valid.csv,project15,0,1,0,0
fold_1valid.csv,project528,0,1,0,0
fold_1valid.csv,project665,0,1,0,0
fold_1valid.csv,project56,0,1,0.5,0.5
fold_1valid.csv,project10,0,1,0,0
fold_1valid.csv,project604,0,1,0,0
fold_1valid.csv,project826,0,1,0,0
fold_1valid.csv,project33,1,1,1.0,1.0
fold_1valid.csv,project404,0,1,0,0
fold_1valid.csv,project36,1,1,1.0,1.0
fold_1valid.csv,project673,1,1,1.0,1.0
fold_1valid.csv,project286,0,1,0,0
fold_1valid.csv,project741,0,1,0,0
fold_1valid.csv,project406,1,1,1.0,1.0
fold_1valid.csv,project339,0,1,0,0
fold_1valid.csv,project390,1,1,1.0,1.0
fold_1valid.csv,project518,0,1,0,0
fold_1valid.csv,project228,0,1,0,0
fold_1valid.csv,project603,0,1,0,0
fold_1valid.csv,project521,0,1,0,0
fold_1valid.csv,project116,0,1,0,0
fold_1valid.csv,project584,0,1,0,0
fold_1valid.csv,project936,0,1,0,0
fold_1valid.csv,project494,0,1,0.3333333333333333,0.3333333333333333
fold_1valid.csv,project79,0,1,0,0
fold_1valid.csv,project956,1,1,1.0,1.0
fold_1valid.csv,project159,0,1,0.25,0.25
fold_1valid.csv,project728,0,1,0,0
fold_1valid.csv,project476,0,1,0,0
fold_1valid.csv,project180,0,1,0,0
fold_1valid.csv,project639,0,1,0,0
fold_1valid.csv,project825,0,1,0,0
fold_1valid.csv,project385,1,1,1.0,1.0
fold_1valid.csv,project238,1,1,1.0,1.0
fold_1valid.csv,project173,1,1,1.0,1.0
fold_1valid.csv,project12,0,1,0,0
fold_1valid.csv,project335,0,1,0,0
fold_1valid.csv,project692,0,1,0.5,0.5
fold_1valid.csv,project174,0,1,0,0
fold_1valid.csv,project635,1,1,1.0,1.0
fold_1valid.csv,project619,0,1,0,0
fold_1valid.csv,project252,0,1,0.5,0.5
fold_1valid.csv,project277,0,1,0,0
fold_1valid.csv,project537,0,1,0,0
fold_1valid.csv,project152,0,1,0.3333333333333333,0.3333333333333333
fold_1valid.csv,project394,0,1,0,0
fold_1valid.csv,project121,0,1,0,0
