maxepsilon,minpoint,nbrlibrary,nbrapplication,stepepsilon,nbrPattern,PUC,Datetime
0.2,5,1459,1001,0.012,14,0.9845163751082839,2021-07-24 21:05:40.104522
0.3,5,1459,1001,0.012,14,0.9845163751082839,2021-07-24 21:32:12.733011
0.4,5,1459,1001,0.012,16,0.8980468106729569,2021-07-24 22:12:22.037576
0.5,5,1459,1001,0.012,15,0.8906697278460385,2021-07-24 23:01:26.776512
0.6,5,1459,1001,0.012,17,0.8638093271393376,2021-07-24 23:56:03.749913
0.7,5,1459,1001,0.012,38,0.5394033713194836,2021-07-25 00:56:31.368772
0.8,5,1459,1001,0.012,49,0.41901176539035273,2021-07-25 01:56:46.056999
0.9,5,1459,1001,0.012,59,0.35008722988124225,2021-07-25 03:00:27.464709
1.0,5,1459,1001,0.012,7,0.3407435729593815,2021-07-25 04:02:32.252073
