Applicatons/librairies,lifecycle-common-2.0.0,loader-1.0.0,localbroadcastmanager-1.0.0,print-1.0.0,recyclerview-1.0.0,slidingpanelayout-1.0.0,swiperefreshlayout-1.0.0,media-1.0.1,org-intellij-lang-annotations,org-osmdroid,preference-1.0.0,org-greenrobot-eventbus,org-jetbrains-annotations,
bmi-calculator.apk,1,1,1,1,1,1,1,0,0,0,0,0,0,
bo-android.apk,0,0,0,1,0,1,1,1,1,1,0,0,0,
Aegis.apk,0,0,0,1,1,0,0,1,1,0,1,0,0,
aelf-dailyreadings.apk,1,1,1,1,1,1,1,1,0,0,0,1,0,
android-money-manager-ex.apk,0,0,0,1,1,1,1,0,1,0,1,0,1,
