maxepsilon,minpoint,nbrlibrary,nbrapplication,stepepsilon,nbrPattern,PUC,Datetime
0.50089,1,9,7,0.0013,2,1.0,2021-08-08 12:14:49.476048
0.50089,1,9,7,0.0014,2,1.0,2021-08-08 12:14:59.253689
0.50089,1,9,7,0.01,2,1.0,2021-08-08 12:15:21.354440
0.50089,1,9,7,0.019,2,1.0,2021-08-08 12:15:31.104062
0.50089,1,9,7,0.1,2,1.0,2021-08-08 12:15:39.217890
0.50089,1,9,7,0.012,2,1.0,2021-08-08 12:15:58.942014
0.50089,1,9,7,0.0012,2,1.0,2021-08-08 12:16:20.439288
0.5009,1,9,7,0.0012,2,1.0,2021-08-08 12:16:31.826699
0.6,1,9,7,0.0012,2,0.7083333333333333,2021-08-08 12:20:19.453489
0.6,1,9,7,0.0012,2,0.7395833333333333,2021-08-08 12:33:37.577940
0.6,1,9,7,0.0012,2,0.7395833333333333,2021-08-08 12:35:11.322315
0.5,1,9,7,0.0012,2,0.90625,2021-08-08 12:35:17.904822
0.4,1,9,7,0.0012,2,0.90625,2021-08-08 12:35:31.497326
0.3,1,9,7,0.0012,2,0.90625,2021-08-08 12:35:39.193744
0.2,1,9,7,0.0012,2,1.0,2021-08-08 12:35:47.485547
0.25,1,9,7,0.0012,2,1.0,2021-08-08 12:36:09.488642
0.28,1,9,7,0.0012,2,0.90625,2021-08-08 12:36:19.049062
0.278,1,9,7,0.0012,2,0.90625,2021-08-08 12:36:37.589618
0.27,1,9,7,0.0012,2,0.90625,2021-08-08 12:36:47.603178
0.26,1,9,7,0.0012,2,0.90625,2021-08-08 12:36:53.882692
0.24,1,9,7,0.0012,2,1.0,2021-08-08 12:37:01.924352
0.25,1,9,7,0.0012,2,1.0,2021-08-08 12:37:25.976372
0.25,1,9,7,0.0012,2,1.0,2021-08-08 12:50:22.619959
0.5,1,9,7,0.0012,2,0.90625,2021-08-08 12:50:32.953056
0.4,1,9,7,0.0012,2,0.90625,2021-08-08 12:50:43.456091
0.3,1,9,7,0.0012,2,0.90625,2021-08-08 12:52:09.475919
0.2,1,9,7,0.0012,2,1.0,2021-08-08 12:52:15.432070
0.25,1,9,7,0.0012,2,1.0,2021-08-08 12:52:25.514751
0.29,1,9,7,0.0012,2,0.90625,2021-08-08 12:52:35.846508
0.28,1,9,7,0.0012,2,0.90625,2021-08-08 12:52:42.429961
0.28,1,9,7,0.0012,2,0.90625,2021-08-08 12:53:35.729766
0.275,1,9,7,0.0012,2,0.90625,2021-08-08 12:53:44.820263
0.273,1,9,7,0.0012,2,0.90625,2021-08-08 12:53:57.410625
0.272,1,9,7,0.0012,2,0.90625,2021-08-08 12:54:05.801922
0.271,1,9,7,0.0012,2,0.90625,2021-08-08 12:54:15.420691
0.8,1,9,7,0.0012,2,0.65625,2021-08-08 12:54:30.866525
0.7,1,9,7,0.0012,2,0.65625,2021-08-08 12:54:46.302781
0.6,1,9,7,0.0012,2,0.7395833333333333,2021-08-08 13:17:37.647935
0.5,1,9,7,0.0012,2,0.90625,2021-08-08 13:27:58.039023
0.7,1,9,7,0.0012,2,0.65625,2021-08-08 13:28:15.382144
0.6,1,9,7,0.0012,2,0.7395833333333333,2021-08-08 13:28:23.986044
0.6,1,9,7,0.0012,2,0.7083333333333333,2021-08-08 13:28:53.525319
0.8,1,9,7,0.0012,2,0.625,2021-08-08 13:29:00.721482
0.6,1,9,7,0.0012,2,0.7083333333333333,2021-08-08 13:29:07.167524
0.6,1,9,7,0.0012,2,0.7395833333333333,2021-08-08 13:29:21.613028
0.6,1,9,7,0.0012,2,0.7083333333333333,2021-08-08 13:29:31.378308
0.5,1,9,7,0.0012,2,1.0,2021-08-08 13:29:39.730693
0.8,2,9,7,0.0012,2,0.7083333333333333,2021-08-09 11:28:02.514419
0.8,3,9,7,0.0012,2,0.625,2021-08-09 11:28:21.382935
0.8,4,9,7,0.0012,1,0.5599999999999999,2021-08-09 11:28:43.091185
0.8,1,9,7,0.0012,2,0.625,2021-08-09 11:29:00.027604
0.8,1,9,7,0.0012,2,0.625,2021-08-09 11:35:26.145443
0.5,1,9,7,0.0012,2,1.0,2021-08-09 11:35:33.562553
0.5,2,9,7,0.0012,2,1.0,2021-08-09 11:38:29.435046
0.7,3,9,7,0.0012,2,0.7083333333333333,2021-08-09 11:38:47.512154
0.7,3,9,7,0.0012,2,0.7083333333333333,2021-08-18 09:56:28.133348
0.7,3,9,7,0.0012,2,0.625,2021-08-18 09:59:35.151186
0.7,2,9,7,0.0012,2,0.7083333333333333,2021-08-18 09:59:46.931691
0.7,1,9,7,0.0012,2,0.625,2021-08-18 10:00:05.395888
0.7,2,9,7,0.0012,2,0.7083333333333333,2021-08-18 10:00:15.696259
0.7,3,9,7,0.0012,2,0.625,2021-08-18 10:00:26.043365
0.3,1,9,7,0.0012,2,1.0,2021-08-18 10:01:03.424022
