file,app,iscorrect,topk,isCorrectMRR,firstrankIscorrect
fold_2valid.csv,project324,1,10,1,1
fold_2valid.csv,project996,1,10,1,0.5
fold_2valid.csv,project593,1,10,1,1
fold_2valid.csv,project149,1,10,1,0.25
fold_2valid.csv,project131,1,10,1,1
fold_2valid.csv,project365,0,10,0,0
fold_2valid.csv,project644,1,10,1,0.5
fold_2valid.csv,project885,1,10,1,0.5
fold_2valid.csv,project756,0,10,0,0
fold_2valid.csv,project344,0,10,0,0
fold_2valid.csv,project429,1,10,1,1
fold_2valid.csv,project725,1,10,1,0.5
fold_2valid.csv,project613,1,10,1,0.5
fold_2valid.csv,project343,0,10,0,0
fold_2valid.csv,project92,0,10,0,0
fold_2valid.csv,project303,1,10,1,0.2
fold_2valid.csv,project808,1,10,1,1
fold_2valid.csv,project621,1,10,1,0.1
fold_2valid.csv,project364,1,10,1,0.333333333
fold_2valid.csv,project981,1,10,1,0.5
fold_2valid.csv,project967,1,10,1,0.333333333
fold_2valid.csv,project198,1,10,1,0.25
fold_2valid.csv,project694,0,10,1,0.020408163
fold_2valid.csv,project574,0,10,0,0
fold_2valid.csv,project177,0,10,0,0
fold_2valid.csv,project549,1,10,1,1
fold_2valid.csv,project130,0,10,0,0
fold_2valid.csv,project143,0,10,0,0
fold_2valid.csv,project242,1,10,1,1
fold_2valid.csv,project233,1,10,1,1
fold_2valid.csv,project105,1,10,1,0.333333333
fold_2valid.csv,project352,1,10,1,0.166666667
fold_2valid.csv,project144,1,10,1,1
fold_2valid.csv,project306,0,10,0,0
fold_2valid.csv,project460,1,10,1,1
fold_2valid.csv,project431,1,10,1,0.2
fold_2valid.csv,project922,1,10,1,1
fold_2valid.csv,project796,1,10,1,1
fold_2valid.csv,project487,1,10,1,0.333333333
fold_2valid.csv,project583,0,10,0,0
fold_2valid.csv,project249,1,10,1,1
fold_2valid.csv,project768,1,10,1,0.333333333
fold_2valid.csv,project424,1,10,1,1
fold_2valid.csv,project310,0,10,0,0
fold_2valid.csv,project907,0,10,0,0
fold_2valid.csv,project108,0,10,0,0
fold_2valid.csv,project461,1,10,1,0.333333333
fold_2valid.csv,project586,0,10,0,0
fold_2valid.csv,project984,0,10,0,0
fold_2valid.csv,project296,1,10,1,1
fold_2valid.csv,project734,1,10,1,1
fold_2valid.csv,project104,1,10,1,0.333333333
fold_2valid.csv,project678,1,10,1,0.5
fold_2valid.csv,project744,0,10,0,0
fold_2valid.csv,project509,0,10,1,0.021276596
fold_2valid.csv,project150,1,10,1,0.166666667
fold_2valid.csv,project437,0,10,0,0
fold_2valid.csv,project746,1,10,1,1
fold_2valid.csv,project630,0,10,0,0
fold_2valid.csv,project580,1,10,1,1
fold_2valid.csv,project636,1,10,1,0.2
fold_2valid.csv,project648,0,10,0,0
fold_2valid.csv,project700,1,10,1,0.5
fold_2valid.csv,project819,1,10,1,1
fold_2valid.csv,project898,1,10,1,1
fold_2valid.csv,project970,1,10,1,1
fold_2valid.csv,project508,0,10,0,0
fold_2valid.csv,project418,1,10,1,0.125
fold_2valid.csv,project193,1,10,1,1
fold_2valid.csv,project850,0,10,1,0.083333333
fold_2valid.csv,project396,1,10,1,1
fold_2valid.csv,project651,1,10,1,0.333333333
fold_2valid.csv,project664,0,10,0,0
fold_2valid.csv,project610,1,10,1,1
fold_2valid.csv,project884,1,10,1,0.333333333
fold_2valid.csv,project997,1,10,1,1
fold_3valid.csv,Applicatons/libraries,0,10,0,0
fold_3valid.csv,project345,0,10,0,0
fold_3valid.csv,project864,1,10,1,0.2
fold_3valid.csv,project66,1,10,1,0.5
fold_3valid.csv,project519,0,10,0,0
fold_3valid.csv,project805,1,10,1,1
fold_3valid.csv,project336,1,10,1,0.2
fold_3valid.csv,project900,1,10,1,1
fold_3valid.csv,project398,0,10,0,0
fold_3valid.csv,project940,1,10,1,0.333333333
fold_3valid.csv,project163,0,10,0,0
fold_3valid.csv,project422,1,10,1,0.166666667
fold_3valid.csv,project72,1,10,1,0.333333333
fold_3valid.csv,project416,1,10,1,0.333333333
fold_3valid.csv,project921,1,10,1,1
fold_3valid.csv,project295,1,10,1,1
fold_3valid.csv,project455,1,10,1,0.142857143
fold_3valid.csv,project711,1,10,1,0.25
fold_3valid.csv,project169,1,10,1,0.25
fold_3valid.csv,project379,0,10,1,0.020408163
fold_3valid.csv,project340,1,10,1,0.25
fold_3valid.csv,project199,1,10,1,1
fold_3valid.csv,project785,1,10,1,0.5
fold_3valid.csv,project938,0,10,0,0
fold_3valid.csv,project113,1,10,1,0.2
fold_3valid.csv,project217,0,10,0,0
fold_3valid.csv,project743,0,10,0,0
fold_3valid.csv,project39,1,10,1,1
fold_3valid.csv,project360,0,10,0,0
fold_3valid.csv,project392,1,10,1,1
fold_3valid.csv,project179,0,10,0,0
fold_3valid.csv,project930,0,10,0,0
fold_3valid.csv,project568,0,10,0,0
fold_3valid.csv,project916,1,10,1,0.25
fold_3valid.csv,project679,0,10,0,0
fold_3valid.csv,project75,0,10,0,0
fold_3valid.csv,project557,0,10,0,0
fold_3valid.csv,project532,0,10,0,0
fold_3valid.csv,project647,0,10,1,0.076923077
