file,app,iscorrect,topk,isCorrectMRR,firstrankIscorrect
fold_1valid.csv,Applicatons/libraries,0,1,0,0
fold_1valid.csv,project147,0,1,0,0
fold_1valid.csv,project512,0,1,0,0
fold_1valid.csv,project928,0,1,1,0.5
fold_1valid.csv,project534,0,1,0,0
fold_1valid.csv,project480,0,1,0,0
fold_1valid.csv,project502,0,1,0,0
fold_1valid.csv,project90,0,1,1,0.333333333
fold_1valid.csv,project765,0,1,0,0
fold_1valid.csv,project15,0,1,1,0.333333333
fold_1valid.csv,project528,0,1,0,0
fold_1valid.csv,project665,0,1,0,0
fold_1valid.csv,project56,0,1,1,0.166666667
fold_1valid.csv,project10,1,1,1,1
fold_1valid.csv,project604,0,1,0,0
fold_1valid.csv,project826,1,1,1,1
fold_1valid.csv,project33,1,1,1,1
fold_1valid.csv,project404,0,1,0,0
fold_1valid.csv,project36,1,1,1,1
fold_1valid.csv,project673,1,1,1,1
fold_1valid.csv,project286,0,1,0,0
fold_1valid.csv,project741,1,1,1,1
fold_1valid.csv,project406,1,1,1,1
fold_1valid.csv,project339,0,1,0,0
fold_1valid.csv,project390,0,1,1,0.333333333
fold_1valid.csv,project518,0,1,0,0
fold_1valid.csv,project228,0,1,0,0
fold_1valid.csv,project603,0,1,0,0
fold_1valid.csv,project521,0,1,0,0
fold_1valid.csv,project116,0,1,0,0
fold_1valid.csv,project584,0,1,0,0
fold_1valid.csv,project936,0,1,0,0
fold_1valid.csv,project494,1,1,1,1
fold_1valid.csv,project79,0,1,0,0
fold_1valid.csv,project956,1,1,1,1
fold_1valid.csv,project159,1,1,1,1
fold_1valid.csv,project728,0,1,1,0.2
fold_1valid.csv,project476,0,1,0,0
fold_1valid.csv,project180,0,1,0,0
fold_1valid.csv,project639,0,1,1,0.25
fold_1valid.csv,project825,1,1,1,1
fold_1valid.csv,project385,0,1,1,0.090909091
fold_1valid.csv,project238,1,1,1,1
fold_1valid.csv,project173,1,1,1,1
fold_1valid.csv,project12,0,1,0,0
fold_1valid.csv,project335,0,1,0,0
fold_1valid.csv,project692,0,1,1,0.142857143
fold_1valid.csv,project174,0,1,0,0
fold_1valid.csv,project635,1,1,1,1
fold_1valid.csv,project619,0,1,1,0.2
fold_1valid.csv,project252,0,1,1,0.142857143
fold_1valid.csv,project277,0,1,0,0
fold_1valid.csv,project537,0,1,0,0
fold_1valid.csv,project152,0,1,1,0.142857143
fold_1valid.csv,project394,0,1,0,0
fold_1valid.csv,project121,0,1,0,0
fold_1valid.csv,project142,0,1,0,0
fold_1valid.csv,project109,0,1,0,0
fold_1valid.csv,project351,0,1,1,0.166666667
fold_1valid.csv,project959,0,1,0,0
fold_1valid.csv,project215,1,1,1,1
fold_1valid.csv,project94,0,1,0,0
fold_1valid.csv,project775,1,1,1,1
fold_1valid.csv,project969,1,1,1,1
fold_1valid.csv,project209,0,1,0,0
fold_1valid.csv,project362,0,1,0,0
fold_1valid.csv,project76,0,1,1,0.333333333
fold_1valid.csv,project697,0,1,0,0
fold_1valid.csv,project883,0,1,1,0.2
fold_1valid.csv,project402,1,1,1,1
fold_1valid.csv,project235,0,1,0,0
fold_1valid.csv,project990,0,1,0,0
fold_1valid.csv,project24,0,1,0,0
fold_1valid.csv,project698,0,1,0,0
fold_1valid.csv,project290,1,1,1,1
fold_1valid.csv,project724,0,1,1,0.5
fold_1valid.csv,project530,0,1,0,0
fold_1valid.csv,project628,1,1,1,1
fold_1valid.csv,project245,0,1,0,0
fold_1valid.csv,project458,0,1,0,0
fold_1valid.csv,project81,0,1,0,0
fold_1valid.csv,project608,0,1,0,0
fold_1valid.csv,project482,0,1,0,0
fold_1valid.csv,project960,1,1,1,1
fold_1valid.csv,project138,0,1,1,0.5
fold_1valid.csv,project941,1,1,1,1
fold_1valid.csv,project749,1,1,1,1
fold_1valid.csv,project73,0,1,1,0.083333333
fold_1valid.csv,project517,1,1,1,1
fold_1valid.csv,project386,0,1,0,0
fold_1valid.csv,project221,0,1,0,0
fold_1valid.csv,project878,0,1,1,0.333333333
fold_1valid.csv,project251,0,1,0,0
fold_1valid.csv,project48,0,1,0,0
fold_1valid.csv,project256,0,1,0,0
fold_1valid.csv,project704,0,1,1,0.111111111
fold_1valid.csv,project777,1,1,1,1
fold_1valid.csv,project738,0,1,1,0.5
fold_1valid.csv,project932,0,1,0,0
fold_1valid.csv,project14,0,1,0,0
fold_1valid.csv,project716,1,1,1,1
fold_2valid.csv,Applicatons/libraries,0,1,0,0
fold_2valid.csv,project691,0,1,1,0.2
fold_2valid.csv,project305,0,1,1,0.1
fold_2valid.csv,project25,1,1,1,1
fold_2valid.csv,project333,0,1,0,0
fold_2valid.csv,project140,0,1,0,0
fold_2valid.csv,project46,1,1,1,1
fold_2valid.csv,project626,0,1,1,0.5
fold_2valid.csv,project839,1,1,1,1
fold_2valid.csv,project77,1,1,1,1
fold_2valid.csv,project688,0,1,1,0.25
fold_2valid.csv,project789,1,1,1,1
fold_2valid.csv,project338,0,1,0,0
fold_2valid.csv,project445,0,1,1,0.166666667
fold_2valid.csv,project953,0,1,1,0.333333333
fold_2valid.csv,project29,0,1,1,0.5
fold_2valid.csv,project652,0,1,1,0.333333333
fold_2valid.csv,project137,0,1,1,0.5
fold_2valid.csv,project69,0,1,0,0
fold_2valid.csv,project464,0,1,0,0
fold_2valid.csv,project703,0,1,1,0.015384615
fold_2valid.csv,project721,0,1,0,0
fold_2valid.csv,project682,0,1,1,0.2
fold_2valid.csv,project870,0,1,1,0.5
fold_2valid.csv,project906,0,1,0,0
fold_2valid.csv,project324,1,1,1,1
fold_2valid.csv,project996,0,1,1,0.5
fold_2valid.csv,project593,1,1,1,1
fold_2valid.csv,project149,0,1,1,0.25
fold_2valid.csv,project131,1,1,1,1
fold_2valid.csv,project365,0,1,0,0
fold_2valid.csv,project644,0,1,1,0.5
fold_2valid.csv,project885,0,1,1,0.5
fold_2valid.csv,project756,0,1,0,0
fold_2valid.csv,project344,0,1,0,0
fold_2valid.csv,project429,1,1,1,1
fold_2valid.csv,project725,0,1,1,0.5
fold_2valid.csv,project613,0,1,1,0.5
fold_2valid.csv,project343,0,1,0,0
fold_2valid.csv,project92,0,1,0,0
fold_2valid.csv,project303,0,1,1,0.2
fold_2valid.csv,project808,1,1,1,1
fold_2valid.csv,project621,0,1,1,0.1
fold_2valid.csv,project364,0,1,1,0.333333333
fold_2valid.csv,project981,0,1,1,0.5
fold_2valid.csv,project967,0,1,1,0.333333333
fold_2valid.csv,project198,0,1,1,0.25
fold_2valid.csv,project694,0,1,1,0.020408163
fold_2valid.csv,project574,0,1,0,0
fold_2valid.csv,project177,0,1,0,0
fold_2valid.csv,project549,1,1,1,1
fold_2valid.csv,project130,0,1,0,0
fold_2valid.csv,project143,0,1,0,0
fold_2valid.csv,project242,1,1,1,1
fold_2valid.csv,project233,1,1,1,1
fold_2valid.csv,project105,0,1,1,0.333333333
fold_2valid.csv,project352,0,1,1,0.166666667
fold_2valid.csv,project144,1,1,1,1
fold_2valid.csv,project306,0,1,0,0
fold_2valid.csv,project460,1,1,1,1
fold_2valid.csv,project431,0,1,1,0.2
fold_2valid.csv,project922,1,1,1,1
fold_2valid.csv,project796,1,1,1,1
fold_2valid.csv,project487,0,1,1,0.333333333
fold_2valid.csv,project583,0,1,0,0
fold_2valid.csv,project249,1,1,1,1
fold_2valid.csv,project768,0,1,1,0.333333333
fold_2valid.csv,project424,1,1,1,1
fold_2valid.csv,project310,0,1,0,0
fold_2valid.csv,project907,0,1,0,0
fold_2valid.csv,project108,0,1,0,0
fold_2valid.csv,project461,0,1,1,0.333333333
fold_2valid.csv,project586,0,1,0,0
fold_2valid.csv,project984,0,1,0,0
fold_2valid.csv,project296,1,1,1,1
fold_2valid.csv,project734,1,1,1,1
fold_2valid.csv,project104,0,1,1,0.333333333
fold_2valid.csv,project678,0,1,1,0.5
fold_2valid.csv,project744,0,1,0,0
fold_2valid.csv,project509,0,1,1,0.021276596
fold_2valid.csv,project150,0,1,1,0.166666667
fold_2valid.csv,project437,0,1,0,0
fold_2valid.csv,project746,1,1,1,1
fold_2valid.csv,project630,0,1,0,0
fold_2valid.csv,project580,1,1,1,1
fold_2valid.csv,project636,0,1,1,0.2
fold_2valid.csv,project648,0,1,0,0
fold_2valid.csv,project700,0,1,1,0.5
fold_2valid.csv,project819,1,1,1,1
fold_2valid.csv,project898,1,1,1,1
fold_2valid.csv,project970,1,1,1,1
fold_2valid.csv,project508,0,1,0,0
fold_2valid.csv,project418,0,1,1,0.125
fold_2valid.csv,project193,1,1,1,1
fold_2valid.csv,project850,0,1,1,0.083333333
fold_2valid.csv,project396,1,1,1,1
fold_2valid.csv,project651,0,1,1,0.333333333
fold_2valid.csv,project664,0,1,0,0
fold_2valid.csv,project610,1,1,1,1
fold_2valid.csv,project884,0,1,1,0.333333333
fold_2valid.csv,project997,1,1,1,1
fold_3valid.csv,Applicatons/libraries,0,1,0,0
fold_3valid.csv,project345,0,1,0,0
fold_3valid.csv,project864,0,1,1,0.2
fold_3valid.csv,project66,0,1,1,0.5
fold_3valid.csv,project519,0,1,0,0
fold_3valid.csv,project805,1,1,1,1
fold_3valid.csv,project336,0,1,1,0.2
fold_3valid.csv,project900,1,1,1,1
fold_3valid.csv,project398,0,1,0,0
fold_3valid.csv,project940,0,1,1,0.333333333
fold_3valid.csv,project163,0,1,0,0
fold_3valid.csv,project422,0,1,1,0.166666667
fold_3valid.csv,project72,0,1,1,0.333333333
fold_3valid.csv,project416,0,1,1,0.333333333
fold_3valid.csv,project921,1,1,1,1
fold_3valid.csv,project295,1,1,1,1
fold_3valid.csv,project455,0,1,1,0.142857143
fold_3valid.csv,project711,0,1,1,0.25
fold_3valid.csv,project169,0,1,1,0.25
fold_3valid.csv,project379,0,1,1,0.020408163
fold_3valid.csv,project340,0,1,1,0.25
fold_3valid.csv,project199,1,1,1,1
fold_3valid.csv,project785,0,1,1,0.5
fold_3valid.csv,project938,0,1,0,0
fold_3valid.csv,project113,0,1,1,0.2
fold_3valid.csv,project217,0,1,0,0
fold_3valid.csv,project743,0,1,0,0
fold_3valid.csv,project39,1,1,1,1
fold_3valid.csv,project360,0,1,0,0
fold_3valid.csv,project392,1,1,1,1
fold_3valid.csv,project179,0,1,0,0
fold_3valid.csv,project930,0,1,0,0
fold_3valid.csv,project568,0,1,0,0
fold_3valid.csv,project916,0,1,1,0.25
fold_3valid.csv,project679,0,1,0,0
fold_3valid.csv,project75,0,1,0,0
fold_3valid.csv,project557,0,1,0,0
fold_3valid.csv,project532,0,1,0,0
fold_3valid.csv,project647,0,1,1,0.076923077
fold_3valid.csv,project944,0,1,1,0.142857143
fold_3valid.csv,project963,0,1,0,0
fold_3valid.csv,project262,0,1,1,0.166666667
fold_3valid.csv,project210,0,1,1,0.333333333
fold_3valid.csv,project868,1,1,1,1
fold_3valid.csv,project261,0,1,0,0
fold_3valid.csv,project400,0,1,0,0
fold_3valid.csv,project920,0,1,0,0
fold_3valid.csv,project947,0,1,0,0
fold_3valid.csv,project591,0,1,0,0
fold_3valid.csv,project524,0,1,1,0.142857143
fold_3valid.csv,project895,0,1,0,0
fold_3valid.csv,project269,0,1,1,0.333333333
fold_3valid.csv,project858,0,1,1,0.25
fold_3valid.csv,project723,0,1,1,0.25
fold_3valid.csv,project641,1,1,1,1
fold_3valid.csv,project358,0,1,0,0
fold_3valid.csv,project726,0,1,1,0.2
fold_3valid.csv,project670,0,1,1,0.166666667
fold_3valid.csv,project281,1,1,1,1
fold_3valid.csv,project553,0,1,1,0.111111111
fold_3valid.csv,project567,0,1,0,0
fold_3valid.csv,project637,0,1,1,0.25
fold_3valid.csv,project843,0,1,0,0
fold_3valid.csv,project536,0,1,0,0
fold_3valid.csv,project987,0,1,1,0.333333333
fold_3valid.csv,project477,0,1,1,0.25
fold_3valid.csv,project589,0,1,0,0
fold_3valid.csv,project45,0,1,1,0.058823529
fold_3valid.csv,project786,0,1,1,0.047619048
fold_3valid.csv,project292,1,1,1,1
fold_3valid.csv,project686,0,1,1,0.333333333
fold_3valid.csv,project403,0,1,1,0.25
fold_3valid.csv,project391,0,1,1,0.2
fold_3valid.csv,project328,0,1,0,0
fold_3valid.csv,project971,0,1,1,0.1
fold_3valid.csv,project558,1,1,1,1
fold_3valid.csv,project375,0,1,1,0.035714286
fold_3valid.csv,project26,0,1,0,0
fold_3valid.csv,project374,0,1,1,0.083333333
fold_3valid.csv,project890,0,1,1,0.333333333
fold_3valid.csv,project822,0,1,0,0
fold_3valid.csv,project124,0,1,1,0.333333333
fold_3valid.csv,project859,0,1,1,0.333333333
